n13439570 n13489037
a2125797 a2125797
v2010698 v2010698
n10568200 n9835506
v2754696 v2603699
n6487260 n6637824
n10509389 n9812338
a2150750 a2150750
r353485 r353485
n1269360 n1269360
n4585626 n3309808
a1233851 a1233851
n1990383 n1762525
n8622950 n8621598
n5859071 n5858936
n4630378 n4629194
a956568 a956568
n3884397 n3945615
n2029571 n1507175
v859758 v859325
n15056749 n14586258
n3898936 n3898936
n8597323 n8597323
n6380495 n6364329
v1370439 v208497
n10088200 n10480018
n7727377 n7705711
n13103877 n13104059
a1713373 a1713373
n11872324 n11872146
v1898769 v1708676
r499823 r499823
a2821373 a2821373
n8813586 n8813586
v1668421 v1675963
n9837088 n10707804
n6453849 n6479665
v1884126 v1884126
n1235946 n1234729
a2605786 a2605786
n4198015 n4213626
r255315 r255315
n5522283 n5267345
n1519401 n1507175
n12029635 n12029635
n2764779 n4182322
a246727 a246727
n3918737 n3277771
a897681 a897681
n10245156 n10389398
n14874564 n14586258
n10284763 n10560637
n3943714 n2784732
n4992431 n4992163
n11426778 n11426530
n8333224 n8333224
v536678 v126264
n591236 n582388
n3390207 n3892891
v2490430 v2434976
a2282277 a2282277
n2823510 n2946921
n4967561 n4959672
a1977488 a1977488
n9191875 n9191875
v2465494 v2450505
n12500751 n13112664
v2729632 v2729632
n13884511 n13883885
n14380473 n14052403
v1575675 v1575675
n5331653 n5327767
n2750169 n2914991
n3693707 n3241496
n7791937 n7657903
n1931984 n1921887
n5379635 n5246511
v2215966 v2267060
a2894436 a2894436
a437419 a437419
v1620436 v1619929
n8563990 n8563990
n5629204 n5627785
n7081739 n7069948
n9935434 n9626238
n12245319 n12244153
n566298 n566135
n3620600 n8664443
n7752377 n7752377
n14933314 n14931879
a305700 a305700
n14139333 n14138691
n1412085 n7992450
n7042137 n7037465
n6874497 n6874019
n7056764 n7020895
n3595179 n2684
n10054875 n10351874
a667353 a667353
n13811410 n13811410
n14428970 n14429985
n4380255 n22903
a2316071 a2316071
n34574 n34574
n11642430 n11630890
n9671334 n9644820
n10040240 n9824361
a2860919 a2860919
a2585919 a2585919
n10857418 n10857418
a2341014 a2341014
n855407 n844254
a207133 a207133
v1957529 v1957529
n3365231 n2686568
n5561834 n5560787
n13597444 n13582013
n6139764 n6136258
n6644105 n6643408
r221985 r221985
n2054502 n2021795
n11137175 n11137175
n13620871 n13615036
n8372847 n7969695
n11412179 n11410625
n1701697 n8108972
v37138 v36362
v1418959 v1211699
n12475242 n12475035
v522068 v126264
n11103864 n11103864
n6801580 n6799897
n11176797 n11176797
v1359917 v1351170
a810164 a810164
n6683784 n6681177
n5536858 n5297523
n277376 n199130
n2211773 n1762525
n4355267 n3984381
n13668864 n13668751
n12402596 n12401335
n5115568 n5107765
n12837803 n12205694
n9705124 n9634494
n8249459 n8249038
n13654232 n13603305
n12318782 n12318378
n9211056 n9211056
n5365059 n5246511
n9250678 n9250678
n10015215 n10676018
n6355459 n6353934
n12304115 n12303462
n1162529 n1160342
n3904183 n3899328
n14619658 n14619225
n4762134 n4723816
n15042194 n14696793
n11979187 n11669921
a1003536 a1003536
a1654377 a1654377
n4512652 n4512652
n2113335 n2083346
n11392913 n11392913
n9960417 n9626238
v1115190 v417001
n14571028 n13920429
n7404261 n7311115
n375938 n374224
n13451073 n13518963
n10304160 n10129825
n11510714 n7939382
n14178913 n14174549
n8274443 n8274443
n5752544 n5752544
n3522239 n3740161
v101137 v100551
n8970064 n8970064
n13176523 n8108972
v149118 v149118
a2400002 a2400002
a1326013 a1326013
n9719794 n9641757
n10186350 n9617867
a1424455 a1424455
n10500942 n9616922
n6658786 n5772356
v379440 v258857
n10691600 n10691600
a2198409 a2198409
n10029831 n9902353
n2823586 n2913152
n14546042 n13920835
n13982999 n13980288
n11005429 n11005429
n13235319 n12205694
n6198083 n6196584
n11715678 n11714853
v463234 v462092
n7502829 n7501545
n2798117 n3088707
a1351021 a1351021
n6414267 n6413889
r328539 r328539
v2308741 v2308741
n12573647 n12205694
n10259780 n9943239
a2296824 a2296824
n6007381 n6000644
a751353 a751353
n9685922 n10099375
v845144 v754942
n7825717 n7809096
n14703458 n14894140
a1752953 a1752953
n7017161 n7016948
n1137597 n1135952
n10270109 n9615465
n13490683 n29677
n7418822 n7416714
n12343753 n13112664
v1536076 v1532589
n14164341 n14051917
n4860759 n4620216
a100373 a100373
v140751 v140751
n14644654 n14625458
n3208556 n3959936
n12186352 n12170585
n3149531 n3900509
n361333 n353249
n9573145 n9573145
r485264 r485264
n3076104 n3315023
n13308750 n13306870
n6742772 n7170753
a378687 a378687
a462409 a462409
n4394821 n2962545
v918580 v927049
n9259025 n9287968
r196540 r196540
n12416917 n11556857
v1140184 v1439190
n5272276 n5267345
a2639193 a2639193
n3850966 n14778436
n7247071 n7247071
n11510571 n11452218
n13982839 n13980288
a46109 a46109
n5654052 n5652926
n13918274 n13860793
a2512922 a2512922
n9009490 n9009490
n2882014 n3899328
n4091466 n3563967
n11979354 n11669921
v727991 v726300
a1845002 a1845002
a2762621 a2762621
n3727465 n2821627
n7634514 n7628870
n11701066 n11700864
n9548111 n9505418
n15149038 n15144371
v1502654 v1494310
n5463533 n5462674
a305590 a305590
n13943236 n13920835
n1603316 n7992450
n7609549 n7596684
n10211962 n9774783
n8945110 n8945110
n3536931 n3980178
n5693669 n5686481
n2152881 n15388
n9166902 n9166902
a2487414 a2487414
n7115493 n6284225
a2223977 a2223977
n3331820 n3315023
n4139748 n4060904
n4605446 n3045337
n1833415 n1831712
n10725613 n9617867
n1499595 n1432517
v943436 v941990
n7345593 n7345593
n11485264 n11473954
n8729626 n8729626
n8215989 n8198398
a1556061 a1556061
n6933279 n6904171
a824631 a824631
a751170 a751170
n7898895 n7881800
v379280 v1564144
n14032599 n14015731
n2896694 n3364340
n9778266 n10351874
a2967791 a2967791
n13713159 n13583724
v2274299 v2207206
n4487081 n4019101
n13005329 n12997654
n11740655 n8106934
n6487172 n6486874
a1904596 a1904596
v1727354 v2179518
n9034402 n9034402
a1438853 a1438853
n14776391 n14799601
n8490685 n8593262
v1752316 v1621555
n3825913 n4192858
a2066836 a2066836
n880269 n876737
n9705287 n9634494
n5306708 n5267345
n1617949 n1507175
n13465530 n13518963
a1208738 a1208738
n4066476 n3385557
n11294582 n11294582
n15101059 n14875077
n8240966 n8240169
v1188144 v65070
n2666501 n4194289
n277569 n199130
r412409 r412409
a799129 a799129
a3017468 a3017468
n4703932 n4703424
n14585808 n14580897
n14164190 n14464005
n11235510 n11235510
r41393 r41393
n3306869 n3278248
a1135420 a1135420
v2597246 v2404904
v2695709 v918872
n10882293 n10882293
n10666752 n9870208
n5188367 n5854150
n13392262 n13387877
v1247074 v1246601
n2093991 n2087122
n10916105 n10916105
n10711005 n9614315
n9357447 n9287968
n14007546 n14006945
n14546227 n14049711
n7272084 n7270179
n4860586 n4620216
n7536074 n7535670
a981455 a981455
v1766952 v203866
a1811683 a1811683
v188721 v187526
n14223074 n14061805
v208055 v205885
n6972874 n6904171
v1693453 v1690294
n3379828 n4341686
v629492 v632627
n14849655 n14883206
n2593019 n2590495
n6703114 n6702458
n1367772 n1326291
v1404138 v1404138
n361192 n360757
n11078203 n11078203
n13030337 n13087625
v1443740 v1441510
n14835004 n14727670
n4835724 n4835724
v2754598 v2604760
n5943066 n5943066
n3017835 n2735688
n8911726 n8911726
r55949 r55949
n4164757 n3975232
n12015076 n11567411
n3859280 n2913152
n1735189 n1735189
n10896823 n10896823
n8524572 n8523483
n11030260 n11030260
a594004 a594004
a71142 a71142
n12441958 n13134302
v1213614 v1213614
n1676313 n7992450
v1286674 v1285440
a2546316 a2546316
n7056593 n7020895
n7957546 n7951464
n7213717 n7213395
n12764202 n12764202
v2288828 v2288828
n1774750 n1774750
n8788004 n8788004
v2058756 v1998432
n6223669 n5946687
n12054678 n12054678
a1463869 a1463869
v272683 v272683
n928751 n397953
a726317 a726317
n12955639 n8108972
n7884266 n13760316
a232234 a232234
n8886432 n8886432
a2111095 a2111095
n3884232 n3574816
v654446 v109660
n2980325 n14818238
a246878 a246878
n12823164 n7992450
n15056827 n14586258
n4678401 n4677952
n2279127 n1762525
n493031 n455599
v2019175 v2016523
v233089 v441445
n4223580 n4223580
n15022776 n14728724
n11499817 n11452218
v1056554 v941990
a2150658 a2150658
n1808447 n1507175
v1081505 v1072262
n3272940 n4516672
n2568087 n2566109
n12509109 n13104059
a3140707 a3140707
n3042829 n3323703
a2796042 a2796042
n1426625 n1326291
n4150153 n3873064
n1328121 n4475
r280283 r280283
n170643 n59552
v561571 v561571
n2739889 n2739889
v2249293 v2015598
a1390588 a1390588
a1786133 a1786133
n914182 n923444
n1039307 n1034925
a173391 a173391
n10088101 n10126806
n5213894 n4723816
a2091851 a2091851
v1791973 v2518161
n11906359 n11567411
n2725242 n3740161
n7859284 n7809096
n11931312 n11928549
r353590 r353590
n6321932 n6289250
a330506 a330506
n3977158 n4285622
n6908291 n6904171
n6610992 n6607339
n11945930 n11567411
n12916025 n11567411
r510852 r510852
n131090 n36762
n10955748 n10955748
n302861 n300441
n10857271 n10857271
n5811214 n5809192
a2869437 a2869437
n15081828 n14586258
n6380373 n6364329
n855301 n844254
a1713250 a1713250
n13629309 n13583724
n11656974 n8108972
n12548804 n12548280
n145779 n145218
n4737234 n4735929
n639833 n636921
n13103750 n13103750
n1749742 n1745125
n12284821 n12284262
n12989007 n12992868
v370921 v370412
n3160001 n3700963
r221887 r221887
a3149169 a3149169
n13538996 n13497135
n8044265 n8044265
n3629100 n3122748
n1451524 n1429349
n336274 n331950
n3135030 n4285622
n14717925 n14586258
n3943833 n3309808
n6453723 n6429590
n5379734 n5246511
n13859512 n13859043
n10989099 n10989099
a271813 a271813
v1370336 v1555742
v1129876 v1129876
n14742917 n14727670
n7477231 n7456188
n1123095 n279835
a692415 a692415
n14512817 n14512817
v1154825 v1128193
v2656189 v2327200
n5042012 n5040275
a858053 a858053
a2052197 a2052197
n4414199 n3285912
n14908422 n14580897
n5081660 n5079866
n5247178 n5246511
a207226 a207226
n5272110 n5248181
n3149686 n4326084
a1037022 a1037022
n2304657 n2301452
n12980652 n8108972
n13563948 n13526110
n10568358 n10235549
n5620754 n5617606
n12318615 n14991712
n1162672 n1160342
n7727458 n7705711
n8019281 n8019281
n3076298 n2743547
n12739332 n12739332
n6150222 n5993844
a2282376 a2282376
a2894327 a2894327
n1979874 n1974773
n1519563 n1503061
n10318607 n10529231
v2240881 v1825237
n1931845 n7992450
n3620730 n3728437
n10245236 n10389398
n10304018 n9824609
n8274354 n8274354
n12778926 n8106934
n9671453 n9644820
n9949946 n10605985
n3595264 n3057021
n9455910 n9477037
a1497245 a1497245
a667463 a667463
n3693617 n3610270
n170710 n59552
v1957403 v1841079
n8372715 n7938773
a2341132 a2341132
n14571181 n13920429
n7042023 n7037465
v1859050 v1857717
a2821475 a2821475
n6874391 n6874019
v859604 v1182293
n11872473 n11872146
a569090 a569090
n1005957 n5796750
n1965252 n1940736
n5825802 n5823932
a2125601 a2125601
n7884182 n7885223
a1076634 a1076634
r499933 r499933
n15042295 n14806838
n34479 n37396
n2127808 n2127808
n3101664 n4531098
n5365164 n5246511
n434657 n36762
n2461372 n8106934
n7286799 n7285403
n4380346 n4380346
n8499057 n8499057
n8426111 n7951464
n9960315 n7846
n1544544 n7992450
r196417 r196417
n12270278 n12269652
n8249336 n8249038
n2798290 n3315023
v101277 v99721
n9935351 n9631463
n3233423 n3233423
n10593392 n9617867
a1424353 a1424353
n7272172 n7270179
n10029729 n9631463
a1629493 a1629493
v438178 v226566
n8740022 n8740022
a2571277 a2571277
n4414101 n4516672
a2296950 a2296950
n15188688 n15157041
n11162010 n11162010
n8288977 n7950920
n6355307 n6353934
n2534734 n1428580
v2142413 v2140033
n14703345 n14702416
n1221464 n1221254
n9744834 n9738708
n4125257 n2883344
r485341 r485341
r269881 r269881
n11176669 n11176669
n11019900 n11019900
n9730204 n9730204
n8970189 n8970189
n10500824 n10480253
n5752422 n5748054
a2198520 a2198520
n9259104 n9379111
n10980681 n10980681
n13693908 n13693908
n7418963 n7416714
n6414151 n6413889
n9646432 n9644820
n12573760 n11567411
n3463561 n3234306
v1575536 v1899262
a1292128 a1292128
v536535 v419375
v2201268 v2200686
a1365544 a1365544
n13308864 n13396054
v62067 v78760
a2664215 a2664215
n10402417 n10402417
n6801418 n6798750
n2857023 n4362025
v2083694 v356258
n4428763 n3895293
n4296562 n4296562
n8681222 n8681222
a2678850 a2678850
n6066414 n6037298
n13524399 n13508333
n8308156 n8307589
n6742630 n7170753
n10318686 n9974648
n7188385 n7186828
n3174605 n3508101
n11353412 n11353412
n6428792 n6427831
a765862 a765862
n4821084 n4819026
n821973 n955060
n5115418 n5107765
n13333833 n13354420
n2211627 n2206270
n10750524 n10470779
a2992796 a2992796
n12705978 n13118707
a378591 a378591
a2414500 a2414500
a2737655 a2737655
n3811295 n4552696
n106104 n106104
n12896000 n12205694
n11005320 n11005320
n8347704 n8077292
v918471 v927049
n10304086 n10787470
n10284871 n9629752
n7825850 n7557434
n15247410 n15122231
n2520147 n1428580
n11280013 n11280013
n1642943 n1627424
n10270232 n9626031
n5850823 n5849789
n10691764 n10053808
n8984788 n8984788
n2416964 n2416519
n3918074 n3699975
v2563327 v2563327
v2538365 v2538086
n12896862 n13103136
n9548489 n9505418
n8308922 n8009834
n14453290 n13920835
n7095653 n7092158
n9073938 n9073938
a3017159 a3017159
n5898430 n5893653
n4630547 n4629194
v2347637 v2349212
a2243255 a2243255
n8005123 n28651
n14551704 n14547369
v1213348 v1212572
a2316718 a2316718
n6571301 n6355894
n4821277 n4819026
n6835525 n6817623
n3042984 n13868248
n2343487 n7992450
a2507436 a2507436
n13943598 n13920835
n11269697 n11269697
n3982642 n3167666
a785298 a785298
a844112 a844112
n11064330 n11064330
n14526764 n14526764
n9382726 n8591680
v1477014 v1476483
n3003378 n4337974
a1331675 a1331675
n3943010 n3526198
n8661878 n8574314
n4369732 n4369732
n6776679 n6776138
n5923983 n5923696
n9343123 n9343123
n1603478 n1507175
n10725734 n10725734
n11078982 n11078982
n11039344 n11039344
v1752495 v1752495
n4296261 n4296261
n4605572 n3419014
n4869256 n4826235
v379154 v1564144
n14742476 n14607521
n13201725 n8108972
v1502540 v1494310
a569568 a569568
n1269161 n1269161
n12147031 n7992450
n9862621 n10448983
n1030488 n410247
n9009372 n9009372
v1252971 v356258
n5634767 n5616246
n11465775 n11473954
n6380603 n6364329
a46673 a46673
a2282843 a2282843
r412987 r412987
n12402840 n12401335
n10152763 n9623038
n6316048 n6313651
n4512476 n4512476
a628432 a628432
n9573405 n9573405
n14683595 n14662574
n6257141 n14974264
a810764 a810764
n3522863 n3091374
n4585456 n3309808
n13654380 n13603305
n448748 n523513
v2754032 v2754032
a2257856 a2257856
n10711144 n9613191
a2860389 a2860389
a100506 a100506
n1103964 n1094725
a1620893 a1620893
n5620190 n5617606
n4223299 n4508163
n12994475 n11675842
a917613 a917613
a1884539 a1884539
r157114 r157114
a1629212 a1629212
n2441942 n2075296
n7634406 n7628870
n3688066 n4285146
a1904698 a1904698
v1825962 v1825962
n3149810 n3739693
n12113657 n12102133
n4894204 n4663319
n14282107 n14276936
v1727490 v1724459
r89643 r89643
n3497352 n2982599
n5850432 n5849789
n2172387 n1762525
n7575510 n7573696
n7081043 n7069948
v1918183 v1904930
n1294127 n1294127
n10441962 n10372373
n14066492 n14061805
n12377328 n11567411
a339288 a339288
n7286368 n7285403
n6619850 n6619065
a2678001 a2678001
a2933807 a2933807
n4164406 n2799897
a653434 a653434
a1713095 a1713095
n3556281 n3740161
n2534165 n1428580
v2720697 v2720697
v1418667 v1211699
r280593 r280593
a232385 a232385
v2729023 v2604760
n507673 n430140
n1260731 n1260731
a3140621 a3140621
n7502576 n7501545
v286928 v283911
n11510067 n11452218
a1149358 a1149358
n2015554 n2000954
v1443631 v1552519
n10666846 n10648237
a1977669 a1977669
n9127461 n9127461
n4262869 n3574816
n7384898 n7387509
n15140744 n15140744
a1522376 a1522376
a2159364 a2159364
v859937 v859325
n855169 n844254
n3595860 n2686568
n3017931 n3944672
n1808785 n7992450
n12436260 n7992450
a305882 a305882
n11426125 n11452218
n9778783 n10731244
n3160186 n3699975
n3713556 n4351233
n12857204 n12205694
n15056938 n14607521
n6644823 n6798750
v404642 v1463963
a1752692 a1752692
r485902 r485902
n10627252 n9622302
n2969886 n4038727
n184501 n161243
n14321469 n5823932
r16678 r16678
n796315 n795720
n15101157 n14875077
n13859692 n13859043
n10211666 n10439851
n2980203 n3094503
n2955247 n3269401
n11123262 n11123262
n1005473 n996969
n11392210 n11392210
a1463537 a1463537
v977153 v976653
a2908887 a2908887
a1042491 a1042491
n8538426 n8537837
n13918584 n13867492
a1208221 a1208221
n4737430 n4735929
n9152401 n9152401
a1859571 a1859571
n9225943 n9225943
a1786026 a1786026
n7957855 n7956887
r387455 r387455
a2776576 a2776576
n13260092 n13255145
a2473543 a2473543
n11524662 n11524662
v188466 v187526
n10882588 n10882588
v2372605 v2372605
n2040505 n2021795
v2406585 v2406585
n13597280 n13582013
v811995 v811375
n14125333 n13526110
n2318437 n8108972
n12520015 n12205694
a2835329 a2835329
n2284611 n2284611
n7370270 n7370270
n10568443 n10677713
n218427 n217014
a271966 a271966
n7056021 n7020895
n2632694 n1429349
n8793746 n8793746
n10509161 n10423589
n8911421 n8911421
n10489944 n9617867
n10093818 n10720453
n11221650 n11221650
n2994858 n2994858
a1101391 a1101391
n14369408 n5823932
a2678087 a2678087
n7609407 n7596684
n14139959 n14138691
v37779 v40353
n10020890 n10480253
n13786187 n13783581
n3135152 n3282591
v1286290 v1285440
n9730732 n9686536
a1272836 a1272836
n6703632 n6702458
n13308543 n13306870
v62774 v1532589
a1233225 a1233225
r255542 r255542
n15022617 n14728724
n11162793 n11162793
n1392692 n1326291
v1345109 v1345109
n3640011 n3434943
n1990516 n1974773
n15081957 n15010703
a2776496 a2776496
n15272571 n15269513
n4453666 n4596852
a2150960 a2150960
v654625 v657260
n4953186 n4951373
n14585048 n14607521
n2270011 n2159955
n10475297 n10605985
n1162376 n1160342
n2113978 n2083346
n13490487 n13433727
n14947702 n14792703
n3174731 n3133538
n13884740 n13883885
n302394 n300441
n9489601 n5625465
v1095581 v1095218
n9705784 n9634494
n13058963 n12992868
v884946 v885217
n14849367 n14586258
r182199 r182199
a3149025 a3149025
n2739550 n3405265
v1884383 v1884383
n591006 n582388
n9994400 n10791221
v7193 v4227
a1693799 a1693799
r505114 r505114
n1451426 n1450661
n14619033 n14818238
r446291 r446291
a2849904 a2849904
n13235159 n12205694
n10759047 n10439851
n9211266 n9211266
n14198380 n14061805
n13044375 n13043926
n2764505 n3700963
n11499091 n11452218
n7502669 n7501545
n7727578 n7705711
n316989 n315986
n14150363 n14145095
v1629000 v1629000
a3115693 a3115693
n13333546 n13285176
a3101056 a3101056
v2260362 v2260362
n10029269 n10605985
a2801964 a2801964
n1833805 n1831712
v1370245 v1400044
a1654162 a1654162
v1620688 v1620688
n8030185 n8030185
n4237924 n3961070
a1752792 a1752792
n4007510 n14778436
n3615037 n3533972
n389953 n1012360
n566040 n556313
n10818088 n10818088
n11788382 n11788382
a2400628 a2400628
n14599641 n14607521
n2548884 n2552171
n11847169 n11847169
v2103612 v1835496
n7311822 n7311822
a2992241 a2992241
n6737112 n6737112
n5306055 n5225090
n1426466 n8106934
n4928194 n4927445
n3101796 n4516672
n375348 n351485
n12318965 n12318378
n14223752 n14061805
n14467846 n14464005
n4776940 n4776299
a330904 a330904
a2111339 a2111339
a423001 a423001
n5101512 n5098942
n3424489 n3733925
a207389 a207389
n10843035 n10843035
a2389649 a2389649
r471269 r471269
n111660 n788632
n10784015 n9610660
n5174517 n5138208
n10068804 n10708454
v918746 v672433
n4394630 n3900509
n5370636 n5246511
n2147328 n1886756
a2605157 a2605157
n9969491 n7846
n10343554 n9628382
v943732 v941990
n10500717 n10499857
n3884926 n3743902
a799953 a799953
n10186143 n10529965
v2622234 v2622234
r123819 r123819
a3081681 a3081681
a1306645 a1306645
n2607630 n1429349
n13274732 n13274092
n14512088 n14034177
v477665 v477665
a1811504 a1811504
n15247518 n28270
n8431600 n8430568
n5331035 n5327767
n3859958 n2756098
n7648997 n7557434
n10020807 n10480253
n282953 n282050
n737894 n844254
a521692 a521692
a2630121 a2630121
a1115920 a1115920
n4032509 n4296261
n13629482 n13629482
v1154554 v2016523
v1129591 v1127795
n12343951 n13112664
v1943153 v1211699
n11872146 n11872146
n12186554 n12170585
n5502855 n5502556
a2644748 a2644748
n9259219 n9366017
n6546408 n6479665
n243373 n7288639
n1892145 n1889074
n7752514 n7752377
n1176931 n1169317
n8984457 n8984457
n8333868 n8329453
n11886788 n11567411
n8622340 n8620061
n2823335 n4531098
n10416909 n9998101
n12691428 n12690653
n11813830 n11567411
v1668603 v382635
n14908146 n14727670
n3292085 n4451818
n14257147 n14061805
v463007 v463007
n12823859 n13100677
a1174222 a1174222
n11308988 n11308988
n10259527 n9943541
n2862916 n4447443
n4762355 n4723816
n6282093 n6251781
n7850957 n14580897
a378892 a378892
n3629643 n3574816
n4428634 n4202417
a858780 a858780
n15149180 n15204983
a2448623 a2448623
a207305 a207305
n14394479 n14416845
n9837720 n9624980
n6933931 n6904171
n11970586 n11672400
n11715430 n11714853
n6678146 n4715487
n13727841 n13583724
n10750640 n9815790
n6776783 n6776138
a1668723 a1668723
n2921756 n2694426
a1727741 a1727741
n3233744 n4341686
n11597657 n13108662
n3845360 n3302121
n12015221 n11915214
n9357847 n9357847
a1595312 a1595312
n723241 n722061
v2636810 v146138
n1701859 n1661091
n9896084 n10053808
v1311722 v449692
n9671974 n9644820
n15174122 n15157041
n7825972 n7809096
n5042573 n5040275
n4860985 n4620216
n1965529 n1940736
n13524295 n13440063
n8260498 n8256968
n8959495 n8959495
n6908968 n6904171
n8406619 n8054721
r314597 r314597
v96136 v231557
n10441819 n10759151
n3076411 n4202417
n8308800 n8307589
n4869106 n4826235
a3056871 a3056871
a2507324 a2507324
a2316820 a2316820
n13367070 n13258362
n13249805 n13250048
n14551822 n14547369
n3786417 n14778436
a109016 a109016
a2571903 a2571903
n15149271 n15204983
n14091525 n14052403
n15188852 n15157041
n8235343 n8049401
n1499396 n1480516
a2282985 a2282985
n2402425 n2402425
n15174218 n5726345
n1044983 n1044448
a3042249 a3042249
n6487395 n6637824
n3982767 n2883344
n7648913 n7557434
n14801402 n14799601
n2896442 n4489008
a3081813 a3081813
n4369856 n3183080
n4585318 n3502509
n7095516 n7092158
n8249960 n8249960
v1982686 v1982044
n13431992 n13489037
n4630689 n4630689
n12568186 n13104059
n7609316 n7596684
n6066555 n6037298
n4639030 n4623612
n3522990 n3988170
n5017757 n5009170
n13176363 n11545524
a46792 a46792
n11740414 n13112664
n10152889 n10152889
a628519 a628519
n5898568 n5898568
a653514 a653514
n10343355 n7846
r157000 r157000
n11945783 n13085113
n12113790 n12102133
n184652 n161243
n5477510 n5462674
n7634306 n7628870
n4551950 n3670849
n6967282 n6904171
n3957762 n4188643
a1811430 a1811430
n11931135 n13118707
n14781989 n14966667
a339157 a339157
a810636 a810636
n10916325 n10916325
n5247804 n5246511
v1502441 v1494310
n7884413 n7885223
n953559 n952963
a2159293 a2159293
a71739 a71739
n11695974 n13109733
n6257250 n14974264
n4139534 n3819595
n10186216 n10791221
n3688192 n4508163
a1629349 a1629349
n170005 n59552
n532739 n426928
a100634 a100634
n12798284 n12205694
n3943115 n3700963
v2308115 v2306462
n1578086 n1507175
n10955920 n10955920
r387525 r387525
a2027480 a2027480
n12882158 n11672400
n8274923 n7974025
n10725893 n9606527
n5042720 n5040275
n243577 n235435
n6282209 n6276697
n448640 n523513
n4512338 n4512338
v2768579 v2767308
v2577877 v868591
n10989339 n10989339
n5561390 n5559908
n880046 n876737
a1174438 a1174438
n6644916 n6798750
n12666602 n11567411
n13010951 n12997654
n11269515 n11269515
n15140892 n15140892
a2448437 a2448437
n10711253 n9882007
n5620050 n5617606
n409075 n407535
n7752602 n7752377
n5379039 n5246511
n2259708 n2246011
n11656380 n8108972
n1221254 n1221254
n2548689 n2552171
n12088223 n13129165
n4164529 n3431243
n389763 n1012360
n11137748 n11137748
v2201975 v2200686
n2534036 n1432517
n639556 n636921
n3581354 n4096066
n8827486 n8827486
n10882436 n10882436
n9034286 n9034286
n10402285 n9774783
a2218314 a2218314
a1963117 a1963117
r446437 r446437
n145024 n46522
n14683447 n14662574
n8392137 n8464601
n4321804 n4321804
n5272891 n5267345
v561375 v561375
n4835950 n4835724
v1418536 v1419473
a2835481 a2835481
n11123124 n11123124
n13103136 n13103136
n6605396 n7151380
v306298 v306298
n2969754 n3988170
a2532398 a2532398
n13943400 n13920835
n316806 n316806
n14801493 n14799601
n5174326 n5138208
n4664058 n4664058
n9837580 n9770472
n11392368 n11392368
n1260867 n199130
n8768647 n8768647
n855055 n844254
n3713436 n4516672
n15101271 n14875077
v2720544 v2655135
n5208291 n5204637
n9152570 n9152570
n9921409 n10752480
a1859466 a1859466
n3101986 n4516672
n12461326 n11556857
n13333696 n13333696
n4262969 n4063868
v1286436 v1301410
n2245111 n2241569
r41570 r41570
n2739668 n2739668
a2908768 a2908768
n10113249 n10314952
n2318538 n8108972
n11465888 n11439690
a2776688 a2776688
n15042429 n14806838
n13597147 n13582013
v1859221 v1859221
n10509063 n10480253
a1379562 a1379562
a1463642 a1463642
n9048880 n9048880
v575970 v126264
a330728 a330728
n9548316 n9548316
n5233238 n5225602
n5791452 n5790944
r123695 r123695
n8137028 n8337324
n7129422 n7109847
n1519719 n1507175
v811881 v811375
n5575960 n5297523
n3640166 n3453809
n159620 n42311
v188580 v187526
n1833619 n7992450
v2103451 v1835496
n10627349 n7846
n14369530 n5823932
n9705909 n9620078
n928542 n927261
n10489818 n5625465
n5634613 n5616246
n434075 n523513
n3811965 n4566257
n2994743 n3733925
n11426288 n7939382
n11681393 n11675842
a3017286 a3017286
n13260190 n13260190
n11906127 n11669921
a580039 a580039
n8479615 n7975026
n5957428 n5923696
v2030158 v2030158
n9500398 n9500398
n7918193 n7881800
n5536370 n5303402
n8729094 n8729094
n15272685 n15269513
n1426314 n1326291
n12245472 n11567411
a2619839 a2619839
n15115926 n13575869
a1233104 a1233104
n9935990 n9935990
n1544704 n1529672
n14428404 n14429985
n14947807 n14696793
r505226 r505226
n3365374 n3665366
v1693727 v1690294
n566135 n566135
a917482 a917482
v2235229 v2200686
a1208146 a1208146
a462546 a462546
n10475163 n10560637
n6198313 n6196584
r182094 r182094
n13308650 n13306870
n7786005 n7775905
n13845114 n31921
n12764978 n13104059
a2150842 a2150842
a1272718 a1272718
n13538757 n13446390
v884814 v884011
n7713074 n7705711
n11622988 n8108972
n4967674 n4959672
n1774918 n1759182
v247390 v247390
v272391 v272391
n10245029 n9807754
n12015384 n11567411
n591111 n582388
n10318414 n7846
n10593521 n9820263
n6703733 n6702458
n6428976 n6427831
v37680 v40353
n10127916 n10020031
a751838 a751838
n3390327 n3305522
r471352 r471352
n7811416 n7811416
n9441587 n9441587
v1654156 v1653873
v2661769 v2661769
n2284771 n1762525
v1884266 v1992503
r255415 r255415
v2044745 v2044745
a2091997 a2091997
v536304 v536304
n1019901 n1019524
n12520223 n11567411
n5306122 n5225090
a207467 a207467
n6860481 n6359877
n6933824 n6904171
n7673872 n14864360
v1115006 v1120069
n4223435 n2962545
n12534862 n13118707
a173694 a173694
v1898893 v1708676
n821752 n955060
n8367100 n8435388
a712314 a712314
n7443761 n7337390
n1749939 n1745125
n3379989 n4359589
a437539 a437539
r280427 r280427
n4992570 n4992163
n8695198 n8523483
n2500749 n7992450
v1384752 v2304982
n3870290 n3277771
n4380143 n3252064
n12921660 n12917901
n5101407 n5098942
